language_id,language
1,Ada
2,Apex
3,APL
4,Assembly
5,Bash/Shell
6,C
7,C#
8,C++
9,Clojure
10,Cobol
11,Crystal
12,Dart
13,Delphi
14,Elixir
15,Erlang
16,F#
17,Flow
18,Fortran
19,GDScript
20,Go
21,Groovy
22,Haskell
23,HTML/CSS
24,Java
25,JavaScript
26,Julia
27,Kotlin
28,Lisp
29,Lua
30,MATLAB
31,Nim
32,Objective-C
33,Ocaml
34,Perl
35,PHP
36,PowerShell
37,Prolog
38,Python
39,R
40,Raku
41,Ruby
42,Rust
43,SAS
44,Scala
45,Solidity
46,SQL
47,Swift
48,TypeScript
49,VBA
50,Visual Basic (.net)
51,Zig
